sRNA	Transcript	Slice.site	AllenScore	flankMax.rpm	slice.site.rpm	slice.site.hit.norm
miR156c-5p	AT2G33810.1	796	1.5	1.37979000000000007198	1.11844	2.91
miR156c-5p	AT4G31340.2	1410	6	1.44897000000000009123	1.31445	3.42
miR156c-5p	AT5G43270.3	1111	1	1.06847000000000003084	0.303631	0.79
miR156d-3p	AT2G04030.2	1007	6	0.48811599999999999433	0.180641	0.47
miR156d-5p	AT1G27360.4	1309	1	0.753313000000000010381	0.930111	2.42
miR156d-5p	AT2G33810.1	796	1.5	1.37979000000000007198	1.11844	2.91
miR156d-5p	AT4G31340.2	1410	6	1.44897000000000009123	1.31445	3.42
miR156d-5p	AT5G43270.3	1111	1	1.06847000000000003084	0.303631	0.79
miR156e	AT1G27360.4	1309	1	0.753313000000000010381	0.930111	2.42
miR156e	AT2G33810.1	796	1.5	1.37979000000000007198	1.11844	2.91
miR156e	AT4G31340.2	1410	6	1.44897000000000009123	1.31445	3.42
miR156e	AT5G43270.3	1111	1	1.06847000000000003084	0.303631	0.79
miR156f-3p	AT2G23350.1	1923	4	1.11460000000000003517	0.438151	1.14
miR156f-3p	AT4G27410.3	834	6	1.03387999999999991019	0.115303	0.3
miR156f-5p	AT1G27360.4	1309	1	0.753313000000000010381	0.930111	2.42
miR156f-5p	AT2G33810.1	796	1.5	1.37979000000000007198	1.11844	2.91
miR156f-5p	AT4G31340.2	1410	6	1.44897000000000009123	1.31445	3.42
miR156f-5p	AT5G43270.3	1111	1	1.06847000000000003084	0.303631	0.79
miR156g	AT1G27360.4	1309	2	0.753313000000000010381	0.930111	2.42
miR156g	AT1G62150.1	292	5	0	0.272884	0.71
miR156g	AT2G33810.1	796	2.5	1.37979000000000007198	1.11844	2.91
miR156g	AT5G43270.3	1111	2	1.06847000000000003084	0.303631	0.79
miR156h	AT1G27360.4	1309	2	0.753313000000000010381	0.930111	2.42
miR156h	AT2G33810.1	796	4.5	1.37979000000000007198	1.11844	2.91
miR156h	AT5G43270.3	1111	2	1.06847000000000003084	0.303631	0.79
miR156i	AT1G27360.4	1309	1	0.753313000000000010381	0.930111	2.42
miR156i	AT1G64520.1	907	6	1.34905000000000008242	0.480429	1.25
miR156i	AT2G01970.1	1804	5	1.31444999999999989626	0.176798	0.46
miR156i	AT2G13820.2	283	6	0.784061000000000007937	0.353596	0.92
miR156i	AT2G33810.1	796	2	1.37979000000000007198	1.11844	2.91
miR156i	AT4G31340.2	1410	6	1.44897000000000009123	1.31445	3.42
miR156i	AT5G43270.3	1111	1	1.06847000000000003084	0.303631	0.79
miR156j	AT1G27360.4	1309	0	0.753313000000000010381	0.930111	2.42
miR156j	AT2G33810.1	796	2.5	1.37979000000000007198	1.11844	2.91
miR156j	AT4G31340.2	1410	5	1.44897000000000009123	1.31445	3.42
miR156j	AT5G43270.3	1111	0	1.06847000000000003084	0.303631	0.79
miR157a-3p	AT1G22380.1	1302	6	0.599575999999999997847	0.64954	1.69
miR157a-3p	AT1G22400.1	1371	6	2.2945299999999999585	0.14605	0.38
miR157a-3p	AT1G77090.1	321	6	0.253666999999999975834	0.303631	0.79
miR157a-3p	AT4G27310.1	767	4	1.32983000000000006757	0.372813	0.97
miR157a-3p	AT4G31580.2	269	6	1.27985999999999999766	0.196015	0.51
miR157a-5p	AT1G27370.4	1325	2	0.907050000000000022915	1.32214	3.44
miR157a-5p	AT2G42200.1	947	2	0.495802999999999993719	0.672601	1.75
miR157a-5p	AT3G21200.1	98	6	0.588045000000000039897	0.272884	0.71
miR157a-5p	AT3G57920.1	855	2	0.372813000000000005496	0.349752	0.91
miR157a-5p	AT5G43270.3	1112	2	1.06847000000000003084	0.714879	1.86
miR157b-3p	AT1G22380.1	1302	6	0.599575999999999997847	0.64954	1.69
miR157b-3p	AT1G22400.1	1371	6	2.2945299999999999585	0.14605	0.38
miR157b-3p	AT1G77090.1	321	6	0.253666999999999975834	0.303631	0.79
miR157b-3p	AT4G27310.1	767	4	1.32983000000000006757	0.372813	0.97
miR157b-3p	AT4G31580.2	269	6	1.27985999999999999766	0.196015	0.51
miR157b-5p	AT1G27370.4	1325	2	0.907050000000000022915	1.32214	3.44
miR157b-5p	AT2G42200.1	947	2	0.495802999999999993719	0.672601	1.75
miR157b-5p	AT3G21200.1	98	6	0.588045000000000039897	0.272884	0.71
miR157b-5p	AT3G57920.1	855	2	0.372813000000000005496	0.349752	0.91
miR157b-5p	AT5G43270.3	1112	2	1.06847000000000003084	0.714879	1.86
miR157c-5p	AT1G27370.4	1325	2	0.907050000000000022915	1.32214	3.44
miR157c-5p	AT2G42200.1	947	2	0.495802999999999993719	0.672601	1.75
miR157c-5p	AT3G21200.1	98	6	0.588045000000000039897	0.272884	0.71
miR157c-5p	AT3G57920.1	855	2	0.372813000000000005496	0.349752	0.91
miR157c-5p	AT5G43270.3	1112	2	1.06847000000000003084	0.714879	1.86
miR157d	AT1G27360.4	1309	2	0.753313000000000010381	0.930111	2.42
miR157d	AT1G55670.1	654	5.5	6.38009999999999966036	0.196015	0.51
miR157d	AT5G43270.3	1111	2	1.06847000000000003084	0.303631	0.79
miR158a-3p	AT5G47820.2	3254	5	0.991605999999999987438	0.445838	1.16
miR158a-5p	AT1G66580.1	795	5	2.8902600000000000513	0.480429	1.25
miR158a-5p	AT1G76810.1	4352	5	0.465054999999999996163	0.342066	0.89
miR158a-5p	AT5G22080.2	762	5	1.09153999999999995474	0.857086	2.23
miR158a-5p	AT5G62680.1	2178	4.5	0.860929000000000055337	0.707192	1.84
miR159a	AT3G11440.1	1165	3.5	0.342065999999999981185	0.372813	0.97
miR159a	AT4G18390.2	1137	6	6.06493999999999999773	0.196015	0.51
miR159a	AT5G06100.3	1259	3.5	0	1.13381	2.95
miR159b-3p	AT3G11440.1	1165	4.5	0.342065999999999981185	0.372813	0.97
miR159b-3p	AT4G18390.2	1137	5	6.06493999999999999773	0.196015	0.51
miR159b-3p	AT5G06100.3	1259	4.5	0	1.13381	2.95
miR159b-5p	AT1G50490.1	640	6	62.559600000000003206	0.468899	1.22
miR159b-5p	AT3G56370.1	3080	6	3.20542000000000015802	0.826338	2.15
miR159b-5p	AT4G18596.1	579	4	1.06462999999999996525	0.234449	0.61
miR159b-5p	AT5G17770.1	354	3.5	1.22605999999999992767	0.530394	1.38
miR159c	AT3G11440.1	1165	4	0.342065999999999981185	0.372813	0.97
miR159c	AT4G18390.2	1137	4.5	6.06493999999999999773	0.196015	0.51
miR159c	AT5G06100.3	1259	4	0	1.13381	2.95
miR160a-5p	AT1G77850.1	1419	0.5	0	22.9568	59.73
miR160a-5p	AT2G28350.1	1339	2	0.553454000000000001513	4.62365	12.03
miR160a-5p	AT4G30080.1	1518	2.5	0.522707000000000032713	1.71417	4.46
miR160b	AT1G77850.1	1419	0.5	0	22.9568	59.73
miR160b	AT2G28350.1	1339	2	0.553454000000000001513	4.62365	12.03
miR160b	AT4G30080.1	1518	2.5	0.522707000000000032713	1.71417	4.46
miR160c-3p	AT1G18490.1	1219	6	0.638009999999999966036	0.26904	0.7
miR160c-5p	AT1G77850.1	1419	0.5	0	22.9568	59.73
miR160c-5p	AT2G28350.1	1339	2	0.553454000000000001513	4.62365	12.03
miR160c-5p	AT4G30080.1	1518	2.5	0.522707000000000032713	1.71417	4.46
miR161.2	AT1G62500.1	778	5	0.957014999999999949054	0.338222	0.88
miR161.2	AT1G63400.1	999	2	0.711034999999999972609	0.357439	0.93
miR162a-3p	AT1G74410.1	619	4.5	0.441995000000000026752	1.60271	4.17
miR162a-5p	AT1G10670.4	939	5.5	1.79872999999999994003	0.472742	1.23
miR162b-3p	AT1G74410.1	619	4.5	0.441995000000000026752	1.60271	4.17
miR162b-5p	AT1G10670.4	939	5.5	1.79872999999999994003	0.472742	1.23
miR164a	AT5G07680.2	661	2.5	0.245980000000000004201	0.365126	0.95
miR164b-5p	AT5G07680.2	661	2.5	0.245980000000000004201	0.365126	0.95
miR164c-3p	AT1G22640.1	613	6	0.830181999999999975515	0.395874	1.03
miR164c-3p	AT4G23490.1	1848	6	0.822494999999999976126	0.357439	0.93
miR164c-5p	AT5G07680.2	661	2.5	0.245980000000000004201	0.365126	0.95
miR165a-3p	AT2G34710.1	880	3	0	0.418934	1.09
miR165a-3p	AT5G60690.1	1272	3	0.322848000000000023846	1.44897	3.77
miR165b	AT2G34710.1	880	3	0	0.418934	1.09
miR165b	AT5G60690.1	1272	3	0.322848000000000023846	1.44897	3.77
miR166a-3p	AT2G34710.1	880	3.5	0	0.418934	1.09
miR166a-3p	AT2G46020.2	6330	5.5	1.14149999999999995914	0.376657	0.98
miR166a-3p	AT5G60690.1	1272	3.5	0.322848000000000023846	1.44897	3.77
miR166b-3p	AT2G34710.1	880	3.5	0	0.418934	1.09
miR166b-3p	AT2G46020.2	6330	5.5	1.14149999999999995914	0.376657	0.98
miR166b-3p	AT5G60690.1	1272	3.5	0.322848000000000023846	1.44897	3.77
miR166c	AT2G34710.1	880	3.5	0	0.418934	1.09
miR166c	AT2G46020.2	6330	5.5	1.14149999999999995914	0.376657	0.98
miR166c	AT5G60690.1	1272	3.5	0.322848000000000023846	1.44897	3.77
miR166d	AT2G34710.1	880	3.5	0	0.418934	1.09
miR166d	AT2G46020.2	6330	5.5	1.14149999999999995914	0.376657	0.98
miR166d	AT5G60690.1	1272	3.5	0.322848000000000023846	1.44897	3.77
miR166e-3p	AT2G34710.1	880	3.5	0	0.418934	1.09
miR166e-3p	AT2G46020.2	6330	5.5	1.14149999999999995914	0.376657	0.98
miR166e-3p	AT5G60690.1	1272	3.5	0.322848000000000023846	1.44897	3.77
miR166f	AT2G34710.1	880	3.5	0	0.418934	1.09
miR166f	AT2G46020.2	6330	5.5	1.14149999999999995914	0.376657	0.98
miR166f	AT5G60690.1	1272	3.5	0.322848000000000023846	1.44897	3.77
miR166g	AT2G34710.1	880	3.5	0	0.418934	1.09
miR166g	AT2G46020.2	6330	5.5	1.14149999999999995914	0.376657	0.98
miR166g	AT5G60690.1	1272	3.5	0.322848000000000023846	1.44897	3.77
miR167a-3p	AT4G22580.1	924	6	0.887832999999999983309	0.349752	0.91
miR167a-3p	AT5G45670.1	1107	5	4.4122599999999998488	0.687975	1.79
miR167a-3p	AT5G60800.2	790	6	0.561141000000000000902	0.165268	0.43
miR167a-3p	ATCG00890.1	677	4.5	1.49893999999999993911	0.0845555	0.22
miR167a-3p	ATCG01250.1	677	4.5	1.52968999999999999417	0.13452	0.35
miR167a-5p	AT1G30330.2	3246	5	2.18691000000000013159	1.51047	3.93
miR167a-5p	AT1G51760.1	862	3	0.591888999999999998458	0.207545	0.54
miR167a-5p	AT1G67080.1	303	4	0.780217000000000049376	0.115303	0.3
miR167a-5p	AT5G37020.2	2380	4	1.54889999999999994351	4.96572	12.92
miR167b	AT1G30330.2	3246	5	2.18691000000000013159	1.51047	3.93
miR167b	AT1G51760.1	862	3	0.591888999999999998458	0.207545	0.54
miR167b	AT1G67080.1	303	4	0.780217000000000049376	0.115303	0.3
miR167b	AT5G37020.2	2380	4	1.54889999999999994351	4.96572	12.92
miR167c-5p	AT3G21810.1	632	5.5	0.353596000000000021402	0.687975	1.79
miR167c-5p	AT3G61310.1	1216	5.5	0.376657000000000019568	0.207545	0.54
miR167d	AT1G30330.2	3246	5.5	2.18691000000000013159	1.51047	3.93
miR167d	AT2G17390.1	363	4.5	0.618793000000000037453	0.292101	0.76
miR167d	AT5G37020.2	2380	5	1.54889999999999994351	4.96572	12.92
miR168a-3p	AT5G17780.2	1165	4	0.768687000000000009159	0.541924	1.41
miR168a-5p	AT1G48410.3	531	5	0	0.999293	2.6
miR168b-3p	AT3G58730.1	814	6	1.73723000000000005194	0.603419	1.57
miR168b-3p	AT5G17780.2	1165	6	0.768687000000000009159	0.541924	1.41
miR168b-3p	AT5G21274.1	240	6	1.19145999999999996355	0.39203	1.02
miR168b-5p	AT1G48410.3	531	5	0	0.999293	2.6
miR169a-3p	AT5G65940.3	1165	6	8.94366999999999912063	0.288258	0.75
miR169a-5p	AT5G06510.3	1238	5	0.661070999999999964203	2.65197	6.9
miR169b-3p	AT2G41620.1	1886	6	0.707192000000000042803	0.24598	0.64
miR169d	AT1G70700.2	787	2.5	2.89794999999999980389	1.6373	4.26
miR169d	AT5G12840.4	1130	4	0.380500000000000004885	0.768687	2.0
miR169e	AT1G70700.2	787	2.5	2.89794999999999980389	1.6373	4.26
miR169e	AT5G12840.4	1130	4	0.380500000000000004885	0.768687	2.0
miR169f-3p	AT2G36580.1	1402	6	0.549610999999999960686	0.507333	1.32
miR169f-3p	AT3G26100.2	2070	6	0.899364000000000052282	0.207545	0.54
miR169f-3p	AT4G29670.2	704	6	2.26763000000000003453	0.618793	1.61
miR169f-3p	AT5G30510.1	850	6	1.07616000000000000547	0.196015	0.51
miR169f-5p	AT1G70700.2	787	2.5	2.89794999999999980389	1.6373	4.26
miR169f-5p	AT5G12840.4	1130	4	0.380500000000000004885	0.768687	2.0
miR169g-5p	AT1G70700.2	787	2.5	2.89794999999999980389	1.6373	4.26
miR169g-5p	AT5G12840.4	1130	4	0.380500000000000004885	0.768687	2.0
miR169h	AT5G06510.3	1238	3	0.661070999999999964203	2.65197	6.9
miR169i	AT5G06510.3	1238	3	0.661070999999999964203	2.65197	6.9
miR169j	AT5G06510.3	1238	3	0.661070999999999964203	2.65197	6.9
miR169k	AT5G06510.3	1238	3	0.661070999999999964203	2.65197	6.9
miR169l	AT5G06510.3	1238	3	0.661070999999999964203	2.65197	6.9
miR169m	AT5G06510.3	1238	3	0.661070999999999964203	2.65197	6.9
miR169n	AT5G06510.3	1238	3	0.661070999999999964203	2.65197	6.9
miR170-3p	AT1G27710.2	661	6	2.6250700000000000145	0.126833	0.33
miR170-3p	AT2G45160.1	1013	1.5	2.34833999999999987196	13.5904	35.36
miR170-3p	AT3G60630.1	1055	1.5	6.92586999999999974875	9.50866	24.74
miR170-3p	AT4G00150.1	866	1.5	1.15687000000000006494	4.53525	11.8
miR171a-3p	AT2G45160.1	1013	0	2.34833999999999987196	13.5904	35.36
miR171a-3p	AT3G60630.1	1055	0	6.92586999999999974875	9.50866	24.74
miR171a-3p	AT4G00150.1	866	0	1.15687000000000006494	4.53525	11.8
miR171b-3p	AT2G45160.1	1010	4	21.0658999999999991815	2.34834	6.11
miR171b-3p	AT3G60630.1	1052	4	9.50866000000000077819	6.92587	18.02
miR171b-3p	AT4G00150.1	863	4	4.53524999999999955946	1.15687	3.01
miR171c-3p	AT2G45160.1	1010	4	21.0658999999999991815	2.34834	6.11
miR171c-3p	AT3G60630.1	1052	4	9.50866000000000077819	6.92587	18.02
miR171c-3p	AT4G00150.1	863	4	4.53524999999999955946	1.15687	3.01
miR171c-5p	AT1G01800.2	925	5.5	1.73338999999999998636	0.388187	1.01
miR171c-5p	AT1G04410.1	666	6	3.46677999999999997272	0.499646	1.3
miR172a	AT4G02990.1	947	6	0.557297999999999960075	0.484273	1.26
miR172a	AT4G36920.2	1303	2	0.603419000000000038675	1.97937	5.15
miR172a	AT5G60120.2	1820	1	0.342065999999999981185	1.47972	3.85
miR172b-3p	AT4G02990.1	947	6	0.557297999999999960075	0.484273	1.26
miR172b-3p	AT4G36920.2	1303	2	0.603419000000000038675	1.97937	5.15
miR172b-3p	AT5G60120.2	1820	1	0.342065999999999981185	1.47972	3.85
miR172b-5p	AT1G22200.2	985	6	8.79377999999999993008	1.37979	3.59
miR172b-5p	AT3G49910.1	606	5.5	16.4882999999999988461	0.149894	0.39
miR172b-5p	AT3G57870.1	207	4	44.6953000000000031378	0.230606	0.6
miR172c	AT3G53610.3	589	4.5	1.28754999999999997229	0.176798	0.46
miR172c	AT4G36920.2	1303	1	0.603419000000000038675	1.97937	5.15
miR172c	AT5G55230.2	2003	4	1.29908000000000001251	0.538081	1.4
miR172c	AT5G60120.2	1820	2	0.342065999999999981185	1.47972	3.85
miR172d-3p	AT3G53610.3	589	4.5	1.28754999999999997229	0.176798	0.46
miR172d-3p	AT4G36920.2	1303	1	0.603419000000000038675	1.97937	5.15
miR172d-3p	AT5G55230.2	2003	4	1.29908000000000001251	0.538081	1.4
miR172d-3p	AT5G60120.2	1820	2	0.342065999999999981185	1.47972	3.85
miR172d-5p	AT1G04340.1	483	6	1.0108200000000000518	0.11146	0.29
miR172d-5p	AT3G12610.1	646	5.5	1.63729999999999997762	0.149894	0.39
miR172d-5p	AT3G23810.1	976	3.5	4.49296999999999968622	1.33751	3.48
miR172d-5p	AT4G15790.1	457	6	0.933953999999999950887	0.215232	0.56
miR172e-3p	AT2G33560.2	1030	4.5	0.845554999999999945537	0.588045	1.53
miR172e-3p	AT4G36920.2	1303	2.5	0.603419000000000038675	1.97937	5.15
miR172e-3p	AT5G55230.2	2003	4	1.29908000000000001251	0.538081	1.4
miR172e-3p	AT5G60120.2	1820	1.5	0.342065999999999981185	1.47972	3.85
miR172e-5p	AT1G22200.2	985	6	8.79377999999999993008	1.37979	3.59
miR172e-5p	AT3G49910.1	606	5.5	16.4882999999999988461	0.149894	0.39
miR172e-5p	AT3G57870.1	207	4	44.6953000000000031378	0.230606	0.6
miR173-3p	AT3G16480.1	1295	5.5	1.07616000000000000547	0.441995	1.15
miR173-3p	AT5G44790.1	774	5.5	0	0.568828	1.48
miR173-5p	AT1G50055.1	373	4.5	0.261353999999999975223	5.51917	14.36
miR173-5p	AT2G27400.1	378	2.5	0	4.75048	12.36
miR173-5p	AT2G39675.1	378	2.5	0.330535000000000023235	9.62396	25.04
miR173-5p	AT2G39681.1	417	2.5	0.614948999999999967869	9.47406	24.65
miR1886.1	AT1G06040.2	706	3.5	2.08698000000000005727	0.299788	0.78
miR1886.1	AT1G07320.4	100	6	1.30292000000000007809	0.284414	0.74
miR1886.1	AT1G17270.1	1301	5	0.153737000000000012534	0.280571	0.73
miR1886.1	AT1G17840.1	237	5	0.295943999999999984851	0.322848	0.84
miR1886.1	AT1G45688.2	740	6	0.933953999999999950887	0.353596	0.92
miR1886.1	AT2G35520.2	270	5	0.491960000000000008402	0.764843	1.99
miR1886.3	AT1G31650.1	1443	6	0.30363099999999998424	0.307475	0.8
miR1886.3	AT3G03920.1	404	6	2.68272000000000021558	0.415091	1.08
miR1886.3	AT4G32040.1	877	5.5	0.530394000000000032102	0.530394	1.38
miR2111b-3p	AT4G30660.2	224	6	9.74695000000000000284	0.299788	0.78
miR2112-5p	AT3G46320.1	462	5.5	1.32214000000000009294	0.180641	0.47
miR2112-5p	AT4G24090.1	860	6	1.03387999999999991019	0.51502	1.34
miR2112-5p	AT5G62210.1	659	6	22.0267000000000017224	2.21382	5.76
miR2934-3p	AT2G35690.1	1907	4	0.564984999999999959464	0.330535	0.86
miR2936	AT3G22440.1	1793	6	3.96641999999999983473	0.388187	1.01
miR2936	AT3G28500.1	237	6	5.65753000000000039194	0.415091	1.08
miR2938	AT3G30300.1	1954	4	0.734095999999999970775	0.157581	0.41
miR2938	AT5G52810.1	724	4	0	0.430465	1.12
miR2939	AT1G68300.1	621	6	1.70647999999999999687	0.184485	0.48
miR319a	AT1G53230.1	1194	4	1.14534000000000002473	0.25751	0.67
miR319a	AT4G18390.2	1136	2.5	6.06493999999999999773	0.39203	1.02
miR319b	AT1G53230.1	1194	4	1.14534000000000002473	0.25751	0.67
miR319b	AT4G18390.2	1136	2.5	6.06493999999999999773	0.39203	1.02
miR319c	AT1G53230.1	1194	3.5	1.14534000000000002473	0.25751	0.67
miR319c	AT4G18390.2	1136	3.5	6.06493999999999999773	0.39203	1.02
miR3434-3p	AT2G22230.1	667	6	6.50692999999999965866	0.876303	2.28
miR3434-3p	AT5G10300.1	780	6	0.572671999999999958852	0.253667	0.66
miR3434-5p	AT2G33800.1	760	6	3.43603000000000013969	0.288258	0.75
miR3434-5p	AT3G61980.1	563	6	0.784061000000000007937	0.357439	0.93
miR3440b-3p	AT1G22510.2	296	4	0.319004999999999983018	0.24598	0.64
miR3440b-3p	AT4G01150.2	252	5.5	8.16729999999999911608	0.90705	2.36
miR3440b-3p	AT4G17340.1	816	5	2.00627000000000021984	0.230606	0.6
miR3440b-3p	AT5G23940.1	713	4.5	1.61423999999999989718	0.764843	1.99
miR3440b-5p	AT1G60700.1	1118	6	0	0.495803	1.29
miR390a-3p	AT1G08125.3	887	5	1.14534000000000002473	5.1233	13.33
miR390a-3p	AT1G20693.3	589	5.5	3.07859000000000015973	1.50278	3.91
miR390a-3p	AT5G43960.2	1535	6	1.28754999999999997229	0.445838	1.16
miR390a-5p	AT1G20810.1	609	6	0.376657000000000019568	0.568828	1.48
miR390a-5p	AT3G17185.2	863	4.5	1.92555999999999993832	3.52443	9.17
miR390a-5p	AT4G37830.2	282	5	10.1044000000000000483	0.495803	1.29
miR390a-5p	AT5G57735.1	428	4.5	0.30363099999999998424	2.3714	6.17
miR390b-3p	AT5G43960.2	1535	6	1.28754999999999997229	0.445838	1.16
miR390b-5p	AT1G20810.1	609	6	0.376657000000000019568	0.568828	1.48
miR390b-5p	AT3G17185.2	863	4.5	1.92555999999999993832	3.52443	9.17
miR390b-5p	AT4G37830.2	282	5	10.1044000000000000483	0.495803	1.29
miR390b-5p	AT5G57735.1	428	4.5	0.30363099999999998424	2.3714	6.17
miR3932a	AT4G35300.5	2239	5.5	1.06462999999999996525	0.226763	0.59
miR3932b-3p	AT4G35300.5	2239	5.5	1.06462999999999996525	0.226763	0.59
miR393a-3p	AT5G65930.3	3734	6	0.334378999999999981796	0.549611	1.43
miR393a-5p	AT1G12820.1	1894	4	0.668757000000000045858	0.614949	1.6
miR393a-5p	AT3G23690.1	416	3	0.115303000000000002712	1.01082	2.63
miR393a-5p	AT3G26810.1	2009	4	0.614948999999999967869	2.58663	6.73
miR393a-5p	AT3G62980.1	1721	2	0.803278000000000047542	0.657227	1.71
miR393b-5p	AT1G12820.1	1894	4	0.668757000000000045858	0.614949	1.6
miR393b-5p	AT3G23690.1	416	3	0.115303000000000002712	1.01082	2.63
miR393b-5p	AT3G26810.1	2009	4	0.614948999999999967869	2.58663	6.73
miR393b-5p	AT3G62980.1	1721	2	0.803278000000000047542	0.657227	1.71
miR394a	AT1G10200.1	660	5	1.50278000000000000469	0.476586	1.24
miR394a	AT1G27340.1	1382	1	0.599575999999999997847	0.584202	1.52
miR394a	AT1G66260.2	983	5.5	3.99717000000000011184	0.215232	0.56
miR394a	AT2G33585.1	370	6	0.515020000000000033324	0.595732	1.55
miR394b-3p	AT5G33320.1	556	6	1.29139000000000003787	0.184485	0.48
miR394b-5p	AT1G10200.1	660	5	1.50278000000000000469	0.476586	1.24
miR394b-5p	AT1G27340.1	1382	1	0.599575999999999997847	0.584202	1.52
miR394b-5p	AT1G66260.2	983	5.5	3.99717000000000011184	0.215232	0.56
miR394b-5p	AT2G33585.1	370	6	0.515020000000000033324	0.595732	1.55
miR395a	AT5G13630.2	3577	2.5	1.40284999999999993037	0.307475	0.8
miR395b	AT5G13630.2	3577	3	1.40284999999999993037	0.307475	0.8
miR395c	AT5G13630.2	3577	3	1.40284999999999993037	0.307475	0.8
miR395d	AT5G13630.2	3577	2.5	1.40284999999999993037	0.307475	0.8
miR395e	AT5G13630.2	3577	2.5	1.40284999999999993037	0.307475	0.8
miR395f	AT5G13630.2	3577	3	1.40284999999999993037	0.307475	0.8
miR396a-5p	AT1G10120.1	1316	5.5	0.818651000000000017565	0.130677	0.34
miR396a-5p	AT1G53910.3	591	6	1.15687000000000006494	0.142207	0.37
miR396a-5p	AT2G22840.1	791	4	0.242135999999999990129	2.96329	7.71
miR396a-5p	AT2G36400.1	756	4	0.668757000000000045858	0.153737	0.4
miR396a-5p	AT3G14110.3	773	5	0.453525000000000011458	0.172955	0.45
miR396a-5p	AT3G52910.1	752	4	0	1.71417	4.46
miR396a-5p	AT3G58690.1	777	5.5	0.222919000000000006034	0.0922424	0.24
miR396a-5p	AT4G37740.1	920	4	0.261353999999999975223	0.230606	0.6
miR396a-5p	AT5G42350.1	1642	3.5	0.311317999999999983629	0.272884	0.71
miR396a-5p	AT5G42360.1	1645	3.5	0.426620999999999972463	0.203702	0.53
miR396a-5p	AT5G53660.1	539	4	0	0.568828	1.48
miR396b-5p	AT1G10120.1	1316	5.5	0.818651000000000017565	0.130677	0.34
miR396b-5p	AT1G53910.3	591	6	1.15687000000000006494	0.142207	0.37
miR396b-5p	AT2G22840.1	791	4	0.242135999999999990129	2.96329	7.71
miR396b-5p	AT2G23940.1	664	5.5	1.95630999999999999339	0.338222	0.88
miR396b-5p	AT2G36400.1	756	4	0.668757000000000045858	0.153737	0.4
miR396b-5p	AT3G14110.3	773	4.5	0.453525000000000011458	0.172955	0.45
miR396b-5p	AT3G52910.1	752	4	0	1.71417	4.46
miR396b-5p	AT4G37740.1	920	4	0.261353999999999975223	0.230606	0.6
miR396b-5p	AT5G27850.1	541	5	6.16486999999999962796	0.418934	1.09
miR396b-5p	AT5G42350.1	1642	4.5	0.311317999999999983629	0.272884	0.71
miR396b-5p	AT5G42360.1	1645	4.5	0.426620999999999972463	0.203702	0.53
miR396b-5p	AT5G53660.1	539	4	0	0.568828	1.48
miR397a	AT3G16350.1	1208	5.5	0.768687000000000009159	0.330535	0.86
miR397b	AT3G19820.3	1251	5.5	2.47516999999999987025	1.14534	2.98
miR397b	AT4G00780.1	720	4.5	0.634167000000000036231	0.576515	1.5
miR398a-3p	AT1G12520.3	820	6	1.02235000000000009202	1.04157	2.71
miR398a-5p	AT1G24260.3	743	6	2.85566999999999993065	0.77253	2.01
miR398b-3p	AT1G12520.3	820	6	1.02235000000000009202	1.04157	2.71
miR398c-3p	AT1G12520.3	820	6	1.02235000000000009202	1.04157	2.71
miR399b	AT4G00170.1	557	6	0.315161999999999997701	0.188328	0.49
miR399c-3p	AT4G00170.1	557	6	0.315161999999999997701	0.188328	0.49
miR399c-5p	AT1G28240.1	1432	6	0.307474999999999998312	0.495803	1.29
miR399c-5p	AT4G04210.1	542	5.5	1.0108200000000000518	0.365126	0.95
miR399e	AT4G00170.1	557	6	0.315161999999999997701	0.188328	0.49
miR399f	AT5G23740.1	552	6	10.9460999999999994969	0.803278	2.09
miR403-3p	AT1G31280.1	3232	1	0.522707000000000032713	1.12228	2.92
miR403-3p	AT2G01720.1	849	6	0.79174699999999997857	0.188328	0.49
miR403-3p	AT3G06430.1	1533	5	1.14534000000000002473	0.334379	0.87
miR407	AT2G19800.1	797	5.5	0.330535000000000023235	0.334379	0.87
miR407	AT5G37830.1	1963	4.5	0.196014999999999994795	0.276727	0.72
miR408-3p	AT1G72230.1	823	6	0.972388999999999947832	0.272884	0.71
miR408-3p	AT2G02850.1	107	1	0.941640999999999950276	0.580359	1.51
miR408-5p	AT1G64650.2	636	6	0.830181999999999975515	0.353596	0.92
miR408-5p	AT3G23810.1	709	5	3.18236000000000007759	0.0768687	0.2
miR408-5p	AT3G33530.3	3902	6	0.834025000000000016342	0.334379	0.87
miR413	AT2G42760.1	403	5.5	0.115303000000000002712	0.522707	1.36
miR413	AT3G07460.2	824	6	2.2445699999999999541	0.303631	0.79
miR413	AT4G26710.2	445	5	1.09538000000000002032	0.726409	1.89
miR414	AT1G03530.1	1032	2.5	0.472741999999999995552	0.0115303	0.03
miR414	AT1G04530.1	809	2.5	1.00697999999999998622	0.0730252	0.19
miR414	AT1G07470.1	1112	4	0.0653384000000000048081	0.0345909	0.09
miR414	AT1G07480.2	1195	4	1.04157000000000010687	0.549611	1.43
miR414	AT1G07920.1	1280	4.5	2.62122000000000010544	1.04926	2.73
miR414	AT1G07930.2	1061	4.5	3.19774000000000002686	0.903207	2.35
miR414	AT1G07940.2	1411	4.5	4.0701999999999998181	1.50663	3.92
miR414	AT1G14510.1	839	4.5	0.691818000000000044025	0.461212	1.2
