target.transcript	sRNA	slice.site	Allen.score	slice.site.rpm	fold.change	verified.	common.name	interaction	adj.p.val
AT4G28310.1	TAS3C-5'D9[+]	560	6	0.388187	0.889213081970174	no	NA	TAS3C-5'D9[+]:AT4G28310.1	0.999940785974165
AT4G28740.1	TAS2-3'D9[-]	1176	5.5	0.130677	0.558028328891521	no	NA	TAS2-3'D9[-]:AT4G28740.1	0.999940785974165
AT4G28750.1	TAS3A-5'D7[+]	329	6	0.215232	0.104586467459593	no	PSAE-1	TAS3A-5'D7[+]:PSAE-1	0.999940785974165
AT4G29210.2	TAS3A-5'D9[+]	1707	6	0.418934	0.812851091814627	no	GGT3	TAS3A-5'D9[+]:GGT3	0.999940785974165
AT4G29830.1	TAS3B-5'D6[+]	430	6	0.142207	0.773545868645646	no	SKI8	TAS3B-5'D6[+]:SKI8	0.999940785974165
AT4G31300.3	TAS3B-5'D1[+]	411	5	0.261354	0.569580904300235	no	PBA1	TAS3B-5'D1[+]:PBA1	0.999940785974165
AT4G31340.2	TAS1C-3'D7[+]	1503	6	0.126833	0.460125277157336	no	NA	TAS1C-3'D7[+]:AT4G31340.2	0.999940785974165
AT4G31340.2	TAS3C-5'D4[-]	1692	2	0.215232	0.196121568931237	no	NA	TAS3C-5'D4[-]:AT4G31340.2	0.999940785974165
AT4G31540.1	TAS2-3'D3[+]	2401	6	0.384343	0.8531445130023	no	ATEXO70G1	TAS2-3'D3[+]:ATEXO70G1	0.999940785974165
AT4G32410.1	TAS1B-3'D4[-]	3035	6	0.0999293	0.656108584599307	no	AtCESA1	TAS1B-3'D4[-]:AtCESA1	0.999940785974165
AT4G33150.3	TAS3C-5'D3[+]	1710	6	0.334379	0.128530354022705	no	LKR	TAS3C-5'D3[+]:LKR	0.999940785974165
AT4G34480.1	TAS3C-5'D1[+]	1447	6	0.295944	0.71560963353792	no	NA	TAS3C-5'D1[+]:AT4G34480.1	0.999940785974165
AT4G35050.1	TAS3A-5'D8[+]	1187	5.5	0.119146	0.648250791092957	no	MSI3	TAS3A-5'D8[+]:MSI3	0.999940785974165
AT4G35110.4	TAS1B-3'D4[-]	1131	5.5	0.995449	1.13561288809872	no	NA	TAS1B-3'D4[-]:AT4G35110.4	0.999940785974165
AT4G36195.3	TAS1C-3'D10[+]	485	6	0.64954	0.839587886610794	no	NA	TAS1C-3'D10[+]:AT4G36195.3	0.999940785974165
AT4G36810.1	TAS3C-5'D1[-]	1012	5	0.384343	0.539856411936294	no	AtGGPPS11	TAS3C-5'D1[-]:AtGGPPS11	0.999940785974165
AT4G38520.2	TAS3C-5'D4[-]	2116	5.5	0.441995	0.741200780268159	no	NA	TAS3C-5'D4[-]:AT4G38520.2	0.999940785974165
AT4G39040.2	TAS3C-5'D3[+]	432	5.5	0.365126	0.849348239833804	no	NA	TAS3C-5'D3[+]:AT4G39040.2	0.999940785974165
AT4G39820.1	TAS3B-5'D3[+]	1312	6	0.24598	0.857212638241516	no	NA	TAS3B-5'D3[+]:AT4G39820.1	0.999940785974165
AT4G40030.3	TAS3C-5'D9[-]	826	5	0.822495	0.295591817801407	no	NA	TAS3C-5'D9[-]:AT4G40030.3	0.999940785974165
AT5G01410.1	TAS1C-3'D7[-]	1134	4.5	1.4605	0.404875287551134	no	ATPDX1	TAS1C-3'D7[-]:ATPDX1	0.999940785974165
AT5G01410.1	TAS4-3'D6[+]	694	6	0.549611	0.23424793583321	no	ATPDX1	TAS4-3'D6[+]:ATPDX1	0.999940785974165
AT5G02800.1	TAS3C-5'D9[+]	1335	5.5	0.288258	0.888648682952537	no	CDL1	TAS3C-5'D9[+]:CDL1	0.999940785974165
AT5G03040.3	TAS2-3'D4[-]	1222	5	0.25751	0.767705935861197	no	iqd2	TAS2-3'D4[-]:iqd2	0.999940785974165
AT5G04600.1	TAS3B-5'D9[+]	623	5.5	1.50663	0.90182442229026	no	NA	TAS3B-5'D9[+]:AT5G04600.1	0.999940785974165
AT5G04870.1	TAS4-3'D8[-]	2263	6	0.199859	0.785993907831385	no	ATCPK1	TAS4-3'D8[-]:ATCPK1	0.999940785974165
AT5G07030.1	TAS1A-3'D2[+]	965	4	0.338222	0.458629753895821	no	NA	TAS1A-3'D2[+]:AT5G07030.1	0.999940785974165
AT5G07530.2	TAS3C-5'D3[+]	165	5.5	0.457369	0.662696496373599	no	ATGRP-7	TAS3C-5'D3[+]:ATGRP-7	0.999940785974165
AT5G07530.2	TAS3B-5'D6[+]	635	5.5	5.51533	0.00803697933435225	no	ATGRP-7	TAS3B-5'D6[+]:ATGRP-7	0.999940785974165
AT5G08200.1	TAS3C-5'D2[+]	1681	5	0.411247	0.926801413535237	no	NA	TAS3C-5'D2[+]:AT5G08200.1	0.999940785974165
AT5G09810.1	TAS1C-3'D5[+]	1319	5.5	1.2299	0.207714276665468	no	ACT7	TAS1C-3'D5[+]:ACT7	0.999940785974165
AT5G10860.1	TAS3C-5'D7[-]	800	5.5	1.2568	0.874847363014363	no	CBSX3	TAS3C-5'D7[-]:CBSX3	0.999940785974165
AT5G12840.4	TAS3B-5'D9[+]	960	5	0.192172	0.631502892469832	no	ATHAP2A	TAS3B-5'D9[+]:ATHAP2A	0.999940785974165
AT5G13100.1	TAS1B-3'D4[-]	1010	4.5	0.13452	0.578583456833692	no	NA	TAS1B-3'D4[-]:AT5G13100.1	0.999940785974165
AT5G13340.1	TAS1A-3'D3[-]	552	6	0.238293	0.907090627531818	no	NA	TAS1A-3'D3[-]:AT5G13340.1	0.999940785974165
AT5G13420.1	TAS3B-5'D7[+]	1329	5.5	0.172955	0.391168849359199	no	TRA2	TAS3B-5'D7[+]:TRA2	0.999940785974165
AT5G14030.4	TAS1A-3'D2[-]	645	5	0.384343	0.279822970927048	no	NA	TAS1A-3'D2[-]:AT5G14030.4	0.999940785974165
AT5G16010.1	TAS3B-5'D5[+]	542	6	0.319005	0.710255206274777	no	NA	TAS3B-5'D5[+]:AT5G16010.1	0.999940785974165
AT5G19990.1	TAS3B-5'D6[+]	963	4.5	0.52655	0.778511243547467	no	ATSUG1	TAS3B-5'D6[+]:ATSUG1	0.999940785974165
AT5G20190.1	TAS1A-3'D6[+]	644	5.5	1.24143	0.703323909366753	no	NA	TAS1A-3'D6[+]:AT5G20190.1	0.999940785974165
AT5G20270.1	TAS3C-5'D9[-]	1359	6	0.149894	0.619192649128796	no	HHP1	TAS3C-5'D9[-]:HHP1	0.999940785974165
AT5G22580.1	TAS3C-5'D3[+]	170	6	1.11075	0.283349531766828	no	NA	TAS3C-5'D3[+]:AT5G22580.1	0.999940785974165
AT5G23200.1	TAS3C-5'D3[+]	1319	5	0.349752	0.260486407830695	no	NA	TAS3C-5'D3[+]:AT5G23200.1	0.999940785974165
AT5G23280.1	TAS2-3'D7[-]	895	6	0.438151	0.7480925123698	no	NA	TAS2-3'D7[-]:AT5G23280.1	0.999940785974165
AT5G26742.3	TAS3A-5'D7[+]	1804	6	0.342066	0.0658566339198964	no	AtRH3	TAS3A-5'D7[+]:AtRH3	0.999940785974165
AT5G28540.1	TAS1B-3'D4[-]	1747	5	0.734096	0.627354620243548	no	BIP1	TAS1B-3'D4[-]:BIP1	0.999940785974165
AT5G33370.2	TAS3C-5'D4[-]	1300	3.5	15.3968	0.59690495345781	no	NA	TAS3C-5'D4[-]:AT5G33370.2	0.999940785974165
AT5G35630.3	TAS2-3'D4[+]	1421	6	0.695662	0.260718656785264	no	ATGSL1	TAS2-3'D4[+]:ATGSL1	0.999940785974165
AT5G35700.1	TAS1A-3'D5[-]	1457	5	0.311318	1.311318	no	FIM2	TAS1A-3'D5[-]:FIM2	0.999940785974165
AT5G43670.1	TAS2-3'D7[+]	1633	5.5	0.476586	1.476586	no	NA	TAS2-3'D7[+]:AT5G43670.1	0.999940785974165
AT5G46840.2	TAS3C-5'D4[-]	1566	6	0.180641	0.795433858865586	no	NA	TAS3C-5'D4[-]:AT5G46840.2	0.999940785974165
AT5G47970.2	TAS3C-5'D8[-]	1557	6	0.461212	1.13425416337411	no	NA	TAS3C-5'D8[-]:AT5G47970.2	0.999940785974165
AT5G48970.1	TAS3A-5'D2[-]	1260	5.5	0.288258	0.807314762127976	no	NA	TAS3A-5'D2[-]:AT5G48970.1	0.999940785974165
AT5G50320.1	TAS1B-3'D7[-]	1097	5	0.203702	0.719658782937473	no	AtELP3	TAS1B-3'D7[-]:AtELP3	0.999940785974165
AT5G50460.1	TAS1A-3'D8[-]	189	4	2.43289	0.119518360042754	no	NA	TAS1A-3'D8[-]:AT5G50460.1	0.999940785974165
AT5G50790.1	TAS3C-5'D3[+]	984	6	0.234449	0.522093790443322	no	AtSWEET10	TAS3C-5'D3[+]:AtSWEET10	0.999940785974165
AT5G52070.1	TAS1B-3'D5[+]	755	4.5	0.403561	1.00828358584226	no	NA	TAS1B-3'D5[+]:AT5G52070.1	0.999940785974165
AT5G52650.1	TAS3B-5'D7[+]	528	6	1.30292	0.0894813939843723	no	NA	TAS3B-5'D7[+]:AT5G52650.1	0.999940785974165
AT5G53160.2	TAS3B-5'D5[+]	321	4.5	0.226763	0.602024311366079	no	PYL8	TAS3B-5'D5[+]:PYL8	0.999940785974165
AT5G53570.2	TAS1C-3'D7[+]	2146	6	1.03773	0.941406105628858	no	NA	TAS1C-3'D7[+]:AT5G53570.2	0.999940785974165
AT5G53880.1	TAS3B-5'D9[+]	241	6	0.403561	0.261184481087046	no	NA	TAS3B-5'D9[+]:AT5G53880.1	0.999940785974165
AT5G56190.2	TAS3C-5'D2[+]	1347	5.5	0.591889	0.766746782521578	no	NA	TAS3C-5'D2[+]:AT5G56190.2	0.999940785974165
AT5G56950.1	TAS3C-5'D3[+]	1132	6	0.39203	0.476441958846159	no	NAP1;3	TAS3C-5'D3[+]:NAP1;3	0.999940785974165
AT5G56970.1	TAS3C-5'D9[+]	1517	5.5	0.834025	0.942708373490415	no	ATCKX3	TAS3C-5'D9[+]:ATCKX3	0.999940785974165
AT5G57735.1	TAS3B-5'D8[-]	334	5	0.326692	0.73728294563735	no	TAS3c	TAS3B-5'D8[-]:TAS3c	0.999940785974165
AT5G60670.1	TAS3C-5'D3[+]	305	6	1.4951	0.775439294394063	no	NA	TAS3C-5'D3[+]:AT5G60670.1	0.999940785974165
AT5G61530.3	TAS4-3'D5[+]	1370	5	0.564985	0.699406504319379	no	NA	TAS4-3'D5[+]:AT5G61530.3	0.999940785974165
AT5G61570.2	TAS3B-5'D6[+]	1010	4.5	0.149894	0.847105468459356	no	NA	TAS3B-5'D6[+]:AT5G61570.2	0.999940785974165
AT5G61820.1	TAS1C-3'D5[-]	1236	6	0.161424	0.67124557578896	no	NA	TAS1C-3'D5[-]:AT5G61820.1	0.999940785974165
AT5G62020.1	TAS1C-3'D8[-]	928	5	0.230606	0.898928391418366	no	AT-HSFB2A	TAS1C-3'D8[-]:AT-HSFB2A	0.999940785974165
AT5G63020.1	TAS3B-5'D5[+]	268	5.5	0.549611	1.549611	no	NA	TAS3B-5'D5[+]:AT5G63020.1	0.999940785974165
AT5G63420.1	TAS3C-5'D3[+]	2606	6	0.39203	1.39203	no	emb2746	TAS3C-5'D3[+]:emb2746	0.999940785974165
AT5G63810.1	TAS1A-3'D7[-]	2150	6	0.311318	0.727185714016363	no	AtBGAL10	TAS1A-3'D7[-]:AtBGAL10	0.999940785974165
AT5G64170.2	TAS3B-5'D9[+]	1869	5	0.468899	0.976992863271455	no	NA	TAS3B-5'D9[+]:AT5G64170.2	0.999940785974165
AT5G65220.1	TAS3B-5'D9[+]	450	6	0.561141	0.202566957189699	no	NA	TAS3B-5'D9[+]:AT5G65220.1	0.999940785974165
AT5G66540.1	TAS3A-5'D1[+]	594	5.5	0.14605	0.500154927794919	no	NA	TAS3A-5'D1[+]:AT5G66540.1	0.999940785974165
AT5G67070.1	TAS3A-5'D4[-]	137	5	1.0531	0.772853206450544	no	RALFL34	TAS3A-5'D4[-]:RALFL34	0.999940785974165
ATCG00380.1	TAS3B-5'D8[+]	235	6	0.860929	0.1178586402356	no	RPS4	TAS3B-5'D8[+]:RPS4	0.999940785974165
ATCG00830.1	TAS3B-5'D9[+]	771	4.5	2.24072	0.189598946906538	no	RPL2.1	TAS3B-5'D9[+]:RPL2.1	0.999940785974165
ATCG01040.1	TAS1B-3'D9[+]	199	3.5	0.261354	0.0563582503015951	no	YCF5	TAS1B-3'D9[+]:YCF5	0.999940785974165
ATMG00910.1	TAS4-3'D9[+]	34	6	0.00768687	0.922585380314846	no	ORF215A	TAS4-3'D9[+]:ORF215A	0.999940785974165
ATMG00980.1	TAS4-3'D9[+]	34	6	0.0192172	0.93314194724541	no	RPSL2	TAS4-3'D9[+]:RPSL2	0.999940785974165
